,PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
325,Maurice Ndour,NYK,25,81.00,200,Ohio U.,Senegal,Undrafted,Undrafted,Undrafted,32,3.1,2,0.3,-1.4,0.073,0.149,0.145,0.503,0.037
326,Metta World Peace,LAL,37,79.00,260,St. John's (NY),USA,1999,1,16,25,2.3,0.8,0.4,-17.7,0.031,0.118,0.225,0.38,0.113
327,Meyers Leonard,POR,25,85.00,255,Illinois,USA,2012,1,11,74,5.4,3.2,1,-2.6,0.024,0.194,0.157,0.507,0.085
328,Michael Beasley,MIL,28,82.00,235,Kansas State,USA,2008,1,2,56,9.4,3.4,0.9,-1.6,0.051,0.186,0.248,0.584,0.096
329,Michael Carter-Williams,CHI,25,78.00,190,Syracuse,USA,2013,1,11,45,6.6,3.4,2.5,-0.8,0.029,0.169,0.207,0.437,0.203
330,Michael Gbinije,DET,25,79.00,200,Syracuse,USA,2016,2,49,9,0.4,0.3,0.2,-1.8,0.057,0.037,0.157,0.184,0.087
331,Michael Kidd-Gilchrist,CHA,23,79.00,232,Kentucky,USA,2012,1,2,81,9.2,7,1.4,1.6,0.071,0.194,0.146,0.528,0.074
332,Mike Conley,MEM,29,73.00,175,Ohio State,USA,2007,1,4,69,20.5,3.5,6.3,3.1,0.015,0.108,0.263,0.604,0.329
333,Mike Dunleavy,ATL,36,81.00,230,Duke,USA,2002,1,3,53,5.2,2.2,0.9,-4.3,0.024,0.124,0.141,0.573,0.097
334,Mike Miller,DEN,37,80.00,218,Florida,USA,2000,1,5,20,1.4,1.9,1.1,-3.3,0.016,0.261,0.104,0.586,0.195
335,Mike Muscala,ATL,25,83.00,240,Bucknell,USA,2013,2,44,70,6.2,3.4,1.4,-3.1,0.069,0.15,0.149,0.596,0.121
336,Mike Scott,ATL,28,80.00,237,Virginia,USA,2012,2,43,18,2.5,2.1,0.9,-8.5,0.053,0.171,0.165,0.36,0.15
337,Mike Tobey,CHA,22,84.00,260,Virginia,USA,Undrafted,Undrafted,Undrafted,2,1,1.5,0.5,-27.3,0.083,0.043,0.105,0.25,0.091
338,Miles Plumlee,CHA,28,83.00,249,Duke,USA,2012,1,26,45,2.5,2.1,0.5,-5.9,0.093,0.127,0.131,0.518,0.065
339,Mindaugas Kuzminskas,NYK,27,81.00,215,None,Lithuania,Undrafted,Undrafted,Undrafted,68,6.3,1.9,1,-1.2,0.05,0.084,0.188,0.533,0.102
340,Mirza Teletovic,MIL,31,81.00,245,None,Bosnia,Undrafted,Undrafted,Undrafted,70,6.4,2.3,0.7,3.4,0.011,0.15,0.191,0.515,0.063
341,Monta Ellis,IND,31,75.00,185,None,USA,2005,2,40,74,8.5,2.8,3.2,-0.5,0.011,0.103,0.169,0.514,0.171
342,Montrezl Harrell,HOU,23,80.00,240,Louisville,USA,2015,2,32,58,9.1,3.8,1.1,3.5,0.084,0.137,0.176,0.662,0.097
343,Myles Turner,IND,21,83.00,243,Texas,USA,2015,1,11,81,14.5,7.3,1.3,3.2,0.064,0.192,0.197,0.585,0.065
344,Nemanja Bjelica,MIN,29,82.00,225,None,Serbia,2010,2,35,65,6.2,3.8,1.2,1.3,0.053,0.184,0.164,0.526,0.102
345,Nene,HOU,34,83.00,250,None,Brazil,2002,1,7,67,9.1,4.2,1,6.6,0.085,0.17,0.193,0.63,0.088
346,Nerlens Noel,DAL,23,83.00,228,Kentucky,USA,2013,1,6,51,8.7,5.8,1,-2.6,0.1,0.225,0.176,0.622,0.078
347,Nick Collison,OKC,36,82.00,255,Kansas,USA,2003,1,12,20,1.7,1.6,0.6,-17.2,0.068,0.186,0.101,0.622,0.171
348,Nick Young,LAL,32,79.00,210,Southern California,USA,2007,1,16,60,13.2,2.3,1,-6.9,0.017,0.081,0.195,0.588,0.057
349,Nicolas Batum,CHA,28,80.00,200,None,France,2008,1,25,77,15.1,6.2,5.9,1.3,0.019,0.184,0.221,0.529,0.273
350,Nicolas Brussino,DAL,24,80.00,215,None,Argentina,Undrafted,Undrafted,Undrafted,54,2.8,1.8,0.9,-10.8,0.053,0.165,0.153,0.498,0.144
351,Nicolas Laprovittola,SAS,27,76.00,180,None,Argentina,Undrafted,Undrafted,Undrafted,18,3.3,0.6,1.6,-9.7,0.007,0.058,0.19,0.579,0.301
352,Nik Stauskas,PHI,23,78.00,205,Michigan,Canada,2014,1,8,80,9.5,2.8,2.4,-4.8,0.011,0.102,0.164,0.54,0.129
353,Nikola Jokic,DEN,22,82.00,250,None,Serbia,2014,2,41,73,16.7,9.8,4.9,5.1,0.119,0.272,0.234,0.64,0.266
354,Nikola Mirotic,CHI,26,82.00,238,None,Montenegro,2011,1,23,70,10.6,5.5,1.1,4.7,0.04,0.208,0.198,0.546,0.069
355,Nikola Vucevic,ORL,26,84.00,260,Southern California,Montenegro,2011,1,16,75,14.6,10.4,2.8,-3.6,0.086,0.306,0.243,0.498,0.157
356,Noah Vonleh,POR,21,81.00,245,Indiana,USA,2014,1,9,74,4.4,5.2,0.4,-2,0.111,0.224,0.131,0.525,0.036
357,Norman Powell,TOR,24,76.00,215,UCLA,USA,2015,2,46,76,8.4,2.2,1.1,3.7,0.022,0.12,0.212,0.552,0.094
358,Norris Cole,OKC,28,74.00,175,Cleveland State,USA,2011,1,28,13,3.3,0.8,1.1,-6.4,0,0.105,0.22,0.381,0.177
359,Okaro White,MIA,24,80.00,204,Florida State,USA,Undrafted,Undrafted,Undrafted,35,2.8,2.3,0.6,8.6,0.061,0.142,0.109,0.507,0.061
360,Omer Asik,NOP,30,84.00,255,None,Turkey,2008,2,36,31,2.7,5.3,0.5,-4.9,0.101,0.252,0.088,0.517,0.044
361,Omri Casspi,MIN,29,81.00,225,None,Israel,2009,1,23,36,5.2,3.1,1,-8.4,0.047,0.167,0.14,0.526,0.087
362,Otto Porter Jr.,WAS,24,80.00,198,Georgetown,USA,2013,1,3,80,13.4,6.4,1.5,3.1,0.05,0.172,0.149,0.628,0.066
363,PJ Tucker,TOR,32,78.00,245,Texas,USA,2006,2,35,81,6.7,5.8,1.2,-1.2,0.056,0.181,0.113,0.516,0.063
364,Pascal Siakam,TOR,23,81.00,230,New Mexico State,Cameroon,2016,1,27,55,4.2,3.4,0.3,0,0.083,0.168,0.131,0.523,0.028
365,Pat Connaughton,POR,24,77.00,210,Notre Dame,USA,2015,2,41,39,2.5,1.3,0.7,-5.2,0.036,0.144,0.132,0.645,0.137
366,Patricio Garino,ORL,24,78.00,203,George Washington,Argentina,Undrafted,Undrafted,Undrafted,5,0,1.4,0,-21.1,0.025,0.133,0.103,0,0
367,Patrick Beverley,HOU,28,73.00,185,Arkansas,USA,2009,2,42,67,9.5,5.9,4.2,7.3,0.05,0.159,0.141,0.546,0.184
368,Patrick McCaw,GSW,21,79.00,185,Nevada-Las Vegas,USA,2016,2,38,71,4,1.4,1.1,-0.7,0.021,0.078,0.119,0.54,0.099
369,Patrick Patterson,TOR,28,81.00,235,Kentucky,USA,2010,1,14,65,6.8,4.5,1.2,10.9,0.045,0.162,0.125,0.542,0.066
370,Patty Mills,SAS,28,72.00,185,Saint Mary's (CA),Australia,2009,2,55,80,9.5,1.8,3.5,12,0.015,0.074,0.189,0.578,0.236
371,Pau Gasol,SAS,36,84.00,250,None,Spain,2001,1,3,64,12.4,7.8,2.3,6.8,0.077,0.271,0.216,0.578,0.143
372,Paul George,IND,27,81.00,220,Fresno State,USA,2010,1,10,75,23.7,6.6,3.3,2.9,0.025,0.178,0.29,0.587,0.157
373,Paul Millsap,ATL,32,80.00,246,Louisiana Tech,USA,2006,2,47,69,18.1,7.7,3.7,2,0.053,0.192,0.243,0.542,0.172
374,Paul Pierce,LAC,39,79.00,235,Kansas,USA,1998,1,10,25,3.2,1.9,0.4,2.4,0.004,0.168,0.149,0.535,0.049
375,Paul Zipser,CHI,23,80.00,210,None,Germany,2016,2,48,44,5.5,2.8,0.8,1.6,0.019,0.138,0.145,0.503,0.062
376,Pierre Jackson,DAL,25,70.00,180,Baylor,USA,2013,2,42,8,4.4,1.1,2.4,31.7,0.011,0.111,0.232,0.416,0.322
377,Quincy Acy,BKN,26,79.00,240,Baylor,USA,2012,2,37,38,5.8,3,0.5,-4.7,0.041,0.192,0.169,0.565,0.053
378,Quinn Cook,NOP,24,74.00,179,Duke,USA,Undrafted,Undrafted,Undrafted,14,5.6,0.5,1.9,-7.7,0.006,0.042,0.199,0.579,0.198
379,RJ Hunter,CHI,23,77.00,185,Georgia State,USA,2015,1,28,3,0,0.3,0,-57.8,0,0.077,0.042,0,0
380,Rajon Rondo,CHI,31,73.00,186,Kentucky,USA,2006,1,21,69,7.8,5.1,6.7,-2.1,0.043,0.167,0.177,0.461,0.361
381,Rakeem Christmas,IND,25,81.00,250,Syracuse,USA,2015,2,36,29,2,1.9,0.1,-10.6,0.127,0.157,0.123,0.529,0.027
382,Ramon Sessions,CHA,31,75.00,190,Nevada,USA,2007,2,56,50,6.2,1.5,2.6,-4.8,0.015,0.078,0.197,0.495,0.24
383,Randy Foye,BKN,33,76.00,218,Villanova,USA,2006,1,7,69,5.2,2.2,2,-7,0.007,0.124,0.145,0.506,0.153
384,Rashad Vaughn,MIL,20,78.00,202,UNLV,USA,2015,1,17,41,3.5,1.2,0.6,-7.6,0.01,0.112,0.173,0.449,0.085
385,Raul Neto,UTA,25,73.00,179,None,Brazil,2013,2,47,40,2.5,0.8,0.9,13.9,0.014,0.084,0.147,0.527,0.14
386,Raymond Felton,LAC,33,73.00,205,North Carolina,USA,2005,1,5,80,6.7,2.7,2.4,-4.1,0.021,0.118,0.166,0.496,0.172
387,Reggie Bullock,DET,26,79.00,205,North Carolina,USA,2013,1,25,31,4.5,2.1,0.9,5,0.029,0.119,0.131,0.538,0.086
388,Reggie Jackson,DET,27,75.00,208,Boston College,Italy,2011,1,24,52,14.5,2.2,5.2,-8.8,0.015,0.077,0.264,0.51,0.306
389,Reggie Williams,NOP,30,78.00,205,Virginia Military Institute,USA,Undrafted,Undrafted,Undrafted,6,4.5,1,0.7,-20.2,0.022,0.062,0.132,0.518,0.087
390,Richard Jefferson,CLE,37,79.00,233,Arizona,USA,2001,1,13,79,5.7,2.6,1,3.4,0.02,0.115,0.123,0.574,0.068
391,Richaun Holmes,PHI,23,82.00,245,Bowling Green,USA,2015,2,37,57,9.8,5.5,1,-7.6,0.087,0.198,0.188,0.611,0.081
392,Ricky Rubio,MIN,26,76.00,190,None,Spain,2009,1,5,75,11.1,4.1,9.1,-1,0.032,0.112,0.174,0.539,0.385
393,Robert Covington,PHI,26,81.00,215,Tennessee State,USA,Undrafted,Undrafted,Undrafted,67,12.9,6.5,1.5,-3.5,0.047,0.177,0.19,0.534,0.075
394,Robin Lopez,CHI,29,84.00,255,Stanford,USA,2008,1,15,81,10.4,6.4,1,0.2,0.114,0.131,0.174,0.511,0.054
395,Rodney Hood,UTA,24,80.00,206,Duke,USA,2014,1,23,59,12.7,3.4,1.6,4.2,0.012,0.13,0.231,0.522,0.102
396,Rodney McGruder,MIA,25,76.00,205,Kansas State,USA,Undrafted,Undrafted,Undrafted,78,6.4,3.3,1.6,-0.2,0.054,0.093,0.124,0.506,0.088
397,Rodney Stuckey,IND,31,77.00,205,Eastern Washington,USA,2007,1,15,39,7.2,2.2,2.2,-0.9,0.01,0.125,0.222,0.483,0.184
398,Ron Baker,NYK,24,76.00,220,Wichita State,USA,Undrafted,Undrafted,Undrafted,52,4.1,1.9,2.1,-2.5,0.015,0.113,0.152,0.456,0.188
399,Rondae Hollis-Jefferson,BKN,22,79.00,214,Arizona,USA,2015,1,23,78,8.7,5.8,2,-4.7,0.058,0.21,0.187,0.517,0.135
400,Ronnie Price,PHX,34,74.00,190,Utah Valley,#N/A,Undrafted,Undrafted,Undrafted,14,1,0.8,1.3,-12.8,0.02,0.068,0.087,0.272,0.188
401,Roy Hibbert,DEN,30,86.00,270,Georgetown,USA,2008,1,17,48,4.6,3.2,0.4,-0.3,0.086,0.14,0.139,0.614,0.048
402,Rudy Gay,SAC,30,80.00,230,Connecticut,USA,2006,1,8,30,18.7,6.3,2.8,1.7,0.039,0.176,0.251,0.559,0.14
403,Rudy Gobert,UTA,25,85.00,245,None,France,2013,1,27,81,14,12.8,1.2,8.1,0.138,0.288,0.167,0.681,0.057
404,Russell Westbrook,OKC,28,75.00,200,UCLA,USA,2008,1,4,81,31.6,10.7,10.4,3.3,0.053,0.279,0.408,0.554,0.543
405,Ryan Anderson,HOU,29,82.00,240,California,USA,2008,1,21,72,13.6,4.6,0.9,7.9,0.058,0.115,0.179,0.583,0.046
406,Ryan Kelly,ATL,26,83.00,230,Duke,USA,2013,2,48,16,1.6,1.1,0.5,2.6,0.01,0.168,0.147,0.408,0.116
407,Salah Mejri,DAL,31,86.00,245,None,Tunisia,Undrafted,Undrafted,Undrafted,73,2.9,4.2,0.2,0.2,0.122,0.287,0.107,0.65,0.025
408,Sam Dekker,HOU,23,81.00,230,Wisconsin,USA,2015,1,18,77,6.5,3.7,1,2.8,0.073,0.145,0.15,0.549,0.079
409,Sasha Vujacic,NYK,33,79.00,195,None,Slovenia,2004,1,27,42,3,1.4,1.2,-1.5,0.031,0.123,0.173,0.423,0.189
410,Sean Kilpatrick,BKN,27,76.00,219,Cincinnati,USA,Undrafted,Undrafted,Undrafted,70,13.1,4,2.2,-6.4,0.014,0.153,0.237,0.546,0.147
411,Semaj Christon,OKC,24,75.00,190,Xavier,USA,2014,2,55,64,2.9,1.4,2,-6.5,0.023,0.085,0.127,0.387,0.193
412,Serge Ibaka,TOR,27,82.00,235,None,Congo,2008,1,24,79,14.8,6.8,0.9,-2.7,0.059,0.188,0.211,0.566,0.05
413,Sergio Rodriguez,PHI,31,75.00,176,None,Spain,2006,1,27,68,7.8,2.3,5.1,-5.3,0.015,0.101,0.194,0.484,0.349
414,Seth Curry,DAL,26,74.00,185,Duke,USA,Undrafted,Undrafted,Undrafted,70,12.8,2.6,2.7,-0.7,0.014,0.095,0.197,0.601,0.159
415,Shabazz Muhammad,MIN,24,78.00,223,UCLA,USA,2013,1,14,78,9.9,2.8,0.4,-1.5,0.063,0.109,0.214,0.566,0.038
416,Shabazz Napier,POR,25,73.00,175,Connecticut,USA,2014,1,24,53,4.1,1.2,1.3,2.7,0.019,0.122,0.224,0.533,0.2
417,Shaun Livingston,GSW,31,79.00,192,None,USA,2004,1,4,76,5.1,2,1.8,7.6,0.025,0.095,0.135,0.568,0.146
418,Shawn Long,PHI,24,81.00,255,Louisiana-Lafayette,USA,Undrafted,Undrafted,Undrafted,18,8.2,4.7,0.7,2.6,0.196,0.214,0.245,0.595,0.087
419,Sheldon Mac,WAS,24,78.00,200,Miami (Fla.),USA,Undrafted,Undrafted,Undrafted,30,3,1.1,0.5,-8.7,0.015,0.115,0.143,0.518,0.078
420,Shelvin Mack,UTA,27,75.00,203,Butler,USA,2011,2,34,55,7.8,2.3,2.8,0.3,0.02,0.099,0.195,0.518,0.21
421,Skal Labissiere,SAC,21,83.00,225,Kentucky,Haiti,2016,1,28,33,8.8,4.9,0.8,-2.9,0.095,0.194,0.212,0.577,0.071
422,Solomon Hill,NOP,26,79.00,225,Arizona,USA,2013,1,23,80,7,3.8,1.8,0.9,0.023,0.113,0.115,0.527,0.08
423,Spencer Dinwiddie,BKN,24,78.00,200,Colorado,USA,2014,2,38,59,7.3,2.8,3.1,-4.9,0.022,0.109,0.144,0.581,0.21
424,Spencer Hawes,MIL,29,85.00,245,Washington,USA,2007,1,10,54,6.2,3.5,1.5,-10.2,0.052,0.215,0.197,0.562,0.174
425,Stanley Johnson,DET,21,79.00,245,Arizona,USA,2015,1,8,77,4.4,2.5,1.4,0.2,0.029,0.129,0.148,0.436,0.106
426,Stephen Curry,GSW,29,75.00,190,Davidson,USA,2009,1,7,79,25.3,4.5,6.6,17.2,0.027,0.113,0.292,0.624,0.287
427,Stephen Zimmerman,ORL,20,84.00,240,Nevada-Las Vegas,USA,2016,2,41,19,1.2,1.8,0.2,-18.1,0.093,0.273,0.149,0.346,0.056
428,Steve Novak,MIL,34,82.00,225,Marquette,USA,2006,2,32,8,0.6,0.4,0,-1.6,0,0.143,0.169,0.357,0
429,Steven Adams,OKC,23,84.00,255,Pittsburgh,New Zealand,2013,1,12,80,11.3,7.7,1.1,2.8,0.128,0.151,0.16,0.589,0.054
430,T.J. McConnell,PHI,25,74.00,200,Arizona,USA,Undrafted,Undrafted,Undrafted,81,6.9,3.1,6.6,-6.2,0.02,0.109,0.144,0.504,0.374
431,TJ Warren,PHX,23,80.00,225,North Carolina State,USA,2014,1,14,66,14.4,5.1,1.1,-6.8,0.064,0.116,0.19,0.539,0.056
432,Taj Gibson,OKC,32,81.00,236,Southern California,USA,2009,1,26,78,10.8,6.2,0.9,0.3,0.084,0.181,0.19,0.543,0.057
433,Tarik Black,LAL,25,81.00,250,Kansas,USA,Undrafted,Undrafted,Undrafted,67,5.7,5.1,0.6,-1.9,0.138,0.202,0.154,0.56,0.052
434,Taurean Prince,ATL,23,80.00,220,Baylor,USA,2016,1,12,59,5.7,2.7,0.9,-0.8,0.027,0.143,0.171,0.513,0.091
435,Terrence Jones,MIL,25,81.00,255,Kentucky,USA,2012,1,18,54,10.8,5.7,1.1,-1.7,0.053,0.203,0.216,0.515,0.075
436,Terrence Ross,ORL,26,79.00,195,Washington,USA,2012,1,8,78,11,2.6,1.1,3.4,0.01,0.108,0.189,0.55,0.066
437,Terry Rozier,BOS,23,74.00,190,Louisville,USA,2015,1,16,74,5.5,3.1,1.8,-0.2,0.034,0.162,0.172,0.466,0.164
438,Thabo Sefolosha,ATL,33,79.00,220,None,Switzerland,2006,1,13,62,7.2,4.4,1.7,-0.5,0.038,0.148,0.134,0.519,0.099
439,Thaddeus Young,IND,29,80.00,221,Georgia Tech,USA,2007,1,12,74,11,6.1,1.6,2.5,0.067,0.152,0.165,0.562,0.082
440,Thomas Robinson,LAL,26,82.00,237,Kansas,USA,2012,1,5,48,5,4.6,0.6,-7.5,0.158,0.304,0.206,0.535,0.088
441,Thon Maker,MIL,20,85.00,223,None,South Sudan,2016,1,10,57,4,2,0.4,1.3,0.081,0.167,0.187,0.558,0.069
442,Tiago Splitter,PHI,32,83.00,245,None,Brazil,2007,1,28,8,4.9,2.8,0.5,-3.5,0.1,0.226,0.222,0.544,0.089
443,Tim Frazier,NOP,26,73.00,170,None,USA,Undrafted,Undrafted,Undrafted,65,7.1,2.7,5.2,-3,0.023,0.097,0.163,0.504,0.312
444,Tim Hardaway Jr.,ATL,25,78.00,205,Michigan,USA,2013,1,24,79,14.5,2.8,2.3,3.1,0.019,0.094,0.223,0.568,0.137
445,Tim Quarterman,POR,22,78.00,190,Louisiana State,USA,Undrafted,Undrafted,Undrafted,16,1.9,0.9,0.7,0,0.053,0.119,0.236,0.511,0.234
446,Timofey Mozgov,LAL,30,85.00,275,None,Russia,Undrafted,Undrafted,Undrafted,54,7.4,4.9,0.8,-9.2,0.097,0.16,0.17,0.553,0.061
447,Timothe Luwawu-Cabarrot,PHI,22,78.00,205,None,France,2016,1,24,69,6.4,2.2,1.1,-2.5,0.023,0.112,0.177,0.536,0.093
448,Tobias Harris,DET,24,81.00,235,Tennessee,USA,2011,1,19,82,16.1,5.1,1.7,-1.3,0.026,0.155,0.218,0.568,0.087
449,Tomas Satoransky,WAS,25,79.00,210,None,Czech Republi...,2012,2,32,57,2.7,1.5,1.6,2.3,0.041,0.089,0.127,0.477,0.183
450,Toney Douglas,MEM,31,74.00,195,Florida State,USA,2009,1,29,24,4.9,2.5,2.3,-0.3,0.035,0.157,0.165,0.451,0.214
451,Tony Allen,MEM,35,76.00,213,Oklahoma State,USA,2004,1,25,71,9.1,5.5,1.4,1.2,0.095,0.139,0.181,0.493,0.083
452,Tony Parker,SAS,35,74.00,185,None,Belgium,2001,1,28,63,10.1,1.8,4.5,5.4,0.007,0.072,0.207,0.514,0.276
453,Tony Snell,MIL,25,79.00,217,New Mexico,USA,2013,1,20,80,8.5,3.1,1.2,-1.2,0.011,0.111,0.122,0.603,0.058
454,Treveon Graham,CHA,23,78.00,226,Virginia Commonwealth,USA,Undrafted,Undrafted,Undrafted,27,2.1,0.8,0.2,-11.6,0.029,0.098,0.121,0.612,0.058
455,Trevor Ariza,HOU,32,80.00,215,UCLA,USA,2004,2,43,80,11.7,5.7,2.2,5.7,0.021,0.162,0.141,0.548,0.088
456,Trevor Booker,BKN,29,80.00,228,Clemson,USA,2010,1,23,71,10,8,1.9,-7.9,0.089,0.251,0.188,0.554,0.131
457,Trey Burke,WAS,24,73.00,191,Michigan,USA,2013,1,9,57,5,0.8,1.8,-9.2,0.012,0.065,0.205,0.532,0.23
458,Trey Lyles,UTA,21,82.00,234,Kentucky,USA,2015,1,12,71,6.2,3.3,1,0.9,0.047,0.178,0.214,0.464,0.098
459,Tristan Thompson,CLE,26,81.00,238,Texas,Canada,2011,1,4,78,8.1,9.2,1,2.9,0.135,0.196,0.112,0.594,0.046
460,Troy Daniels,MEM,25,76.00,205,Virginia Commonwealth,USA,Undrafted,Undrafted,Undrafted,67,8.2,1.5,0.7,0.3,0.02,0.077,0.21,0.531,0.065
461,Troy Williams,HOU,22,79.00,210,Indiana,USA,Undrafted,Undrafted,Undrafted,30,6.2,2.3,0.8,-5.4,0.029,0.107,0.171,0.511,0.072
462,Ty Lawson,SAC,29,71.00,195,North Carolina,USA,2009,1,18,69,9.9,2.6,4.8,-4.2,0.029,0.087,0.193,0.551,0.3
463,Tyler Ennis,LAL,22,75.00,194,Syracuse,Canada,2014,1,18,53,4.3,0.8,1.6,-0.2,0.017,0.072,0.194,0.521,0.211
464,Tyler Johnson,MIA,25,76.00,186,Fresno State,USA,Undrafted,Undrafted,Undrafted,73,13.7,4,3.2,0.5,0.025,0.125,0.207,0.535,0.17
465,Tyler Ulis,PHX,21,70.00,150,Kentucky,USA,2016,2,34,61,7.3,1.6,3.7,-6.5,0.018,0.073,0.202,0.474,0.297
466,Tyler Zeller,BOS,27,84.00,253,North Carolina,USA,2012,1,17,51,3.5,2.4,0.8,0.2,0.088,0.167,0.164,0.508,0.125
467,Tyreke Evans,SAC,27,78.00,220,Memphis,USA,2009,1,4,40,10.3,3.4,3.1,-8.6,0.017,0.178,0.27,0.501,0.281
468,Tyson Chandler,PHX,34,85.00,240,None,USA,2001,1,2,47,8.4,11.5,0.6,-2.9,0.127,0.339,0.113,0.703,0.033
469,Tyus Jones,MIN,21,74.00,195,Duke,USA,2015,1,24,60,3.5,1.1,2.6,2.5,0.015,0.089,0.135,0.523,0.276
470,Udonis Haslem,MIA,37,80.00,235,Florida,USA,Undrafted,Undrafted,Undrafted,16,1.9,2.3,0.4,-23.8,0.063,0.255,0.131,0.524,0.094
471,Victor Oladipo,OKC,25,76.00,210,Indiana,USA,2013,1,2,67,15.9,4.3,2.6,2.5,0.019,0.123,0.213,0.534,0.122
472,Vince Carter,MEM,40,78.00,220,North Carolina,USA,1998,1,5,73,8,3.1,1.8,3.6,0.023,0.128,0.149,0.542,0.112
473,Wade Baldwin IV,MEM,21,76.00,202,Vanderbilt,USA,2016,1,17,33,3.2,1.4,1.8,-16.9,0.029,0.097,0.191,0.404,0.262
474,Wayne Ellington,MIA,29,76.00,200,North Carolina,USA,2009,1,28,62,10.5,2.1,1.1,2.7,0.013,0.087,0.179,0.565,0.07
475,Wayne Selden,MEM,22,77.00,230,Kansas,USA,Undrafted,Undrafted,Undrafted,14,5.1,1.1,0.9,-7.4,0.005,0.066,0.162,0.525,0.09
476,Wesley Johnson,LAC,29,79.00,215,Syracuse,USA,2010,1,4,68,2.7,2.7,0.3,-2.9,0.035,0.209,0.126,0.448,0.042
477,Wesley Matthews,DAL,30,77.00,220,Marquette,USA,Undrafted,Undrafted,Undrafted,73,13.5,3.5,2.9,-3.5,0.008,0.117,0.196,0.533,0.138
478,Will Barton,DEN,26,78.00,175,Memphis,USA,2012,2,40,60,13.7,4.3,3.4,-2.9,0.037,0.132,0.211,0.547,0.185
479,Willie Cauley-Stein,SAC,23,84.00,240,Kentucky,USA,2015,1,6,75,8.1,4.5,1.1,-6.3,0.069,0.2,0.199,0.558,0.093
480,Willie Reed,MIA,27,83.00,245,Saint Louis,USA,Undrafted,Undrafted,Undrafted,71,5.3,4.7,0.4,2.6,0.135,0.223,0.153,0.578,0.04
481,Willy Hernangomez,NYK,23,83.00,240,None,Spain,2015,2,35,72,8.2,7,1.3,-2.8,0.142,0.263,0.202,0.564,0.116
482,Wilson Chandler,DEN,30,80.00,225,DePaul,USA,2007,1,23,71,15.7,6.5,2,-1.7,0.052,0.178,0.221,0.545,0.097
483,Yogi Ferrell,DAL,24,72.00,180,Indiana,USA,Undrafted,Undrafted,Undrafted,46,10,2.4,3.7,-4.1,0.018,0.091,0.196,0.533,0.232
484,Zach LaVine,MIN,22,77.00,185,UCLA,USA,2014,1,13,47,18.9,3.4,3,-3.6,0.012,0.098,0.218,0.576,0.128
485,Zach Randolph,MEM,35,81.00,260,Michigan State,USA,2001,1,19,73,14.1,8.2,1.7,-1.1,0.113,0.28,0.285,0.49,0.131
486,Zaza Pachulia,GSW,33,83.00,275,None,Georgia,2003,2,42,70,6.1,5.9,1.9,15.8,0.13,0.225,0.151,0.588,0.131
